"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-15","0.00","0.0","0.0","73","84","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-16","0.29","0.0","0.0","70","78","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-17","0.00","0.0","0.0","67","74","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-18","0.00","0.0","0.0","69","76","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-19","0.00","0.0","0.0","67","72","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-20","0.00","0.0","0.0","68","77","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-21","0.00","0.0","0.0","71","82","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-22","0.08","0.0","0.0","74","82","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-23","0.00","0.0","0.0","70","78","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-24","0.00","0.0","0.0","74","84","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-25","0.00","0.0","0.0","80","91","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-26","0.00","0.0","0.0","83","92","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-27","0.59","0.0","0.0","75","78","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-28","0.16","0.0","0.0","79","87","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-29","0.23","0.0","0.0","79","85","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06-30","0.00","0.0","0.0","77","82","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-01","0.01","0.0","0.0","77","82","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-02","0.00","0.0","0.0","76","82","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-03","0.00","0.0","0.0","72","79","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-04","0.00","0.0","0.0","73","83","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-05","0.03","0.0","0.0","75","81","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-06","1.52","0.0","0.0","76","82","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-07","0.00","0.0","0.0","69","73","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-08","1.46","0.0","0.0","64","66","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-09","0.00","0.0","0.0","72","81","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-10","0.00","0.0","0.0","79","90","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-11","0.00","0.0","0.0","81","91","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-12","0.00","0.0","0.0","77","85","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-13","0.04","0.0","0.0","73","77","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-14","0.00","0.0","0.0","78","82","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-15","0.00","0.0","0.0","79","85","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-16","0.00","0.0","0.0","78","82","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-17","0.42","0.0","0.0","78","81","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-18","0.00","0.0","0.0","83","89","76",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-19","0.00","0.0","0.0","85","91","78",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-20","0.00","0.0","0.0","83","89","77",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-21","0.00","0.0","0.0","82","91","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-22","0.00","0.0","0.0","83","93","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-23","0.01","0.0","0.0","79","85","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-24","0.00","0.0","0.0","78","88","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-25","0.03","0.0","0.0","81","91","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-26","0.00","0.0","0.0","86","96","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-27","0.04","0.0","0.0","85","97","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-28","0.00","0.0","0.0","76","82","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-29","0.00","0.0","0.0","78","86","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-30","0.00","0.0","0.0","80","88","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07-31","0.00","0.0","0.0","76","83","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-01","0.00","0.0","0.0",,"87","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-02","0.00","0.0","0.0",,"94","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08-03","0.00","0.0","0.0",,"97","75",
